"union","performance","framing","id","group_id","round","overextraction","observer","overext_observed","report","punished","round_profit"
2,1,1,"32121","221",4,0,NA,NA,NA,NA,990
2,1,1,"64221","211",4,0,NA,NA,NA,NA,1000
2,1,1,"96321","221",4,0,NA,NA,NA,NA,990
2,1,1,"128421","221",4,0,NA,NA,NA,NA,990
2,1,1,"160521","211",4,0,NA,NA,NA,NA,1000
2,1,1,"192621","211",4,0,NA,NA,NA,NA,1000
2,1,1,"224721","211",4,0,NA,NA,NA,NA,1000
2,1,1,"256821","221",4,1,NA,NA,NA,NA,1010
2,1,1,"288921","211",4,0,NA,NA,NA,NA,1000
2,1,1,"321021","221",4,0,NA,NA,NA,NA,990
2,1,1,"32121","221",5,0,NA,NA,NA,NA,980
2,1,1,"64221","211",5,0,NA,NA,NA,NA,1000
2,1,1,"96321","221",5,0,NA,NA,NA,NA,980
2,1,1,"128421","221",5,2,NA,NA,NA,NA,1010
2,1,1,"160521","211",5,0,NA,NA,NA,NA,1000
2,1,1,"192621","211",5,0,NA,NA,NA,NA,1000
2,1,1,"224721","211",5,0,NA,NA,NA,NA,1000
2,1,1,"256821","221",5,1,NA,NA,NA,NA,1000
2,1,1,"288921","211",5,0,NA,NA,NA,NA,1000
2,1,1,"321021","221",5,0,NA,NA,NA,NA,980
2,1,1,"32121","221",6,0,NA,NA,NA,NA,970
2,1,1,"64221","211",6,0,NA,NA,NA,NA,1000
2,1,1,"96321","221",6,0,NA,NA,NA,NA,970
2,1,1,"128421","221",6,5,NA,NA,NA,NA,1040
2,1,1,"160521","211",6,0,NA,NA,NA,NA,1000
2,1,1,"192621","211",6,0,NA,NA,NA,NA,1000
2,1,1,"224721","211",6,0,NA,NA,NA,NA,1000
2,1,1,"256821","221",6,1,NA,NA,NA,NA,980
2,1,1,"288921","211",6,0,NA,NA,NA,NA,1000
2,1,1,"321021","221",6,0,NA,NA,NA,NA,970
2,1,1,"32121","221",7,0,NA,NA,NA,NA,980
2,1,1,"64221","211",7,0,NA,NA,NA,NA,1000
2,1,1,"96321","221",7,0,NA,NA,NA,NA,980
2,1,1,"128421","221",7,2,NA,NA,NA,NA,1010
2,1,1,"160521","211",7,0,NA,NA,NA,NA,1000
2,1,1,"192621","211",7,0,NA,NA,NA,NA,1000
2,1,1,"224721","211",7,0,NA,NA,NA,NA,1000
2,1,1,"256821","221",7,1,NA,NA,NA,NA,1000
