union,performance,framing,id,round,overextraction,observer,overext_observed,report,punished,round_profit,group_id
1,1,2,2247122,16,1,1,50,0,NA,880,122
1,1,2,2568112,16,0,1,50,0,NA,360,112
1,1,2,2889112,16,50,-1,NA,NA,NA,860,112
1,1,2,3210112,16,40,1,38,0,NA,960,112
1,1,2,321112,17,50,-1,NA,NA,NA,850,112
1,1,2,642122,17,0,1,45,0,NA,920,122
1,1,2,963122,17,0,0,NA,NA,0,670,122
1,1,2,1284122,17,45,0,NA,NA,0,1350,122
1,1,2,1605112,17,40,1,40,0,NA,950,112
1,1,2,1926122,17,0,1,0,0,NA,670,122
1,1,2,2247122,17,20,-1,NA,NA,NA,970,122
1,1,2,2568112,17,0,0,NA,NA,0,100,112
1,1,2,2889112,17,50,1,0,0,NA,850,112
1,1,2,3210112,17,40,0,NA,NA,0,700,112
1,1,2,321112,18,50,-1,NA,NA,NA,550,112
1,1,2,642122,18,0,1,0,0,NA,610,122
1,1,2,963122,18,0,0,NA,NA,0,610,122
1,1,2,1284122,18,50,0,NA,NA,1,0,122
1,1,2,1605112,18,50,0,NA,NA,0,550,112
1,1,2,1926122,18,25,1,50,1,NA,980,122
1,1,2,2247122,18,3,-1,NA,NA,NA,650,122
1,1,2,2568112,18,50,1,50,0,NA,800,112
1,1,2,2889112,18,50,0,NA,NA,0,550,112
1,1,2,3210112,18,40,1,50,0,NA,650,112
1,1,2,321112,19,50,0,NA,NA,0,570,112
1,1,2,642122,19,0,1,25,0,NA,850,122
1,1,2,963122,19,0,-1,NA,NA,NA,600,122
1,1,2,1284122,19,40,0,NA,NA,1,0,122
1,1,2,1605112,19,45,1,50,0,NA,750,112
1,1,2,1926122,19,25,0,NA,NA,0,970,122
1,1,2,2247122,19,15,1,40,1,NA,820,122
1,1,2,2568112,19,50,1,40,0,NA,820,112
1,1,2,2889112,19,50,-1,NA,NA,NA,570,112
1,1,2,3210112,19,40,0,NA,NA,0,420,112
1,1,2,321112,20,50,1,40,0,NA,970,112
1,1,2,642122,20,0,0,NA,NA,0,730,122
1,1,2,963122,20,0,1,0,0,NA,730,122
1,1,2,1284122,20,10,0,NA,NA,1,0,122
1,1,2,1605112,20,15,-1,NA,NA,NA,200,112
1,1,2,1926122,20,25,-1,NA,NA,NA,1110,122
1,1,2,2247122,20,18,1,10,1,NA,1000,122
